Id,Title,Senior,Company,Location,Salary,Currency
178,Remote Data Scientist (NLP),False,Lingaro,Zdalna  + 2,20 160  - 30 240  PLN,PLN
179,Deep Learning Engineer,False,Focal Systems,Remote,46 599  - 77 665  PLN,PLN
180,Data Scientist,False,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,Zdalna  + 2,10 000  - 20 000  PLN,PLN
181,Senior Data Scientist,True,Avenga,Remote,30 240  - 36 960  PLN,PLN
182,Remote Machine Learning Mid Engineer,False,EWL Group,Zdalna  + 5,15 000  - 19 000  PLN,PLN
183,Machine Learning Engineer,False,hubQuest,Zdalna  + 1,20 000  - 27 000  PLN,PLN
184,Remote AI Engineer,False,Lingaro,Zdalna  + 2,23 520  - 30 240  PLN,PLN
185,Data Engineer,False,Ringier Axel Springer Tech,Zdalna  + 3,10 100  - 16 900  PLN,PLN
186,Data Scientist,False,FORM,Remote,25 000  - 30 000  PLN,PLN
187,Junior Scala Developer,False,Link Group,Zdalna  + 3,6 720  - 11 760  PLN,PLN
188,Senior Data Scientist,True,Objectivity,Zdalna  + 2,23 352  - 28 560  PLN,PLN
189,Data Architect,False,Objectivity,Zdalna  + 2,24 000  - 30 400  PLN,PLN
190,Remote Data Scientist,False,Varwise,Remote,26 000  - 30 000  PLN,PLN
191,Senior Research Engineer (R&amp;D),True,SoftServe,Zdalna  + 8,20 000  - 25 000  PLN,PLN
192,Senior Deep Learning Engineer,True,Focal Systems,Remote,77 665  - 124 264  PLN,PLN
193,Remote Senior Data Scientist,True,Lingaro,Zdalna  + 2,21 000  - 31 920  PLN,PLN
194,Machine Learning Engineer,False,Nomagic,Zdalna  + 1,17 000  - 22 000  PLN,PLN
195,Python Developer / ML Engineer,False,hubQuest,Zdalna  + 1,20 000  - 25 000  PLN,PLN
196,Junior Data Scientist,False,Webinterpret,Zdalna  + 1,8 000  - 12 000  PLN,PLN
197,Data Engineer,False,Unit8 SA,"Kraków, POL  + 1",16 000  - 26 000  PLN,PLN
198,Data Scientist,False,Addepto,Zdalna  + 5,18 480  - 28 560  PLN,PLN
199,C++ Machine Learning Engineer,False,Taxus IT,"Warszawa, POL",11 000  - 14 000  PLN,PLN
200,Machine Learning Researcher,False,Mobica Limited,Remote,20 000  - 26 000  PLN,PLN
201,Python Machine Learning Engineer,False,Numlabs,Remote,13 000  - 17 000  PLN,PLN
202,Specjalista ds. modelowania,False,Polskie Technologie,"Warszawa, POL",8 700  - 14 500  PLN,PLN
203,Senior Data Scientist,True,Pannon-Work Zrt.,"Budapest, HUN",14 288  - 26 195  PLN,PLN
204,Mid Computer Vision Engineer,False,Femtonics Kft,"Budapest, HUN",9 525  - 17 860  PLN,PLN
205,AI Developer / Data Scientist,False,Algomine,Remote,13 440  - 25 200  PLN,PLN
206,Data Scientist,False,Addepto,Remote,18 480  - 28 560  PLN,PLN
207,Machine Learning Engineer -Data Scientis,False,OpenX,Remote,16 000  - 24 000  PLN,PLN
208,Senior Data Scientist,True,hubQuest,Remote,25 000  - 34 000  PLN,PLN
209,Senior AI Engineer,True,Link Group,Remote,27 000  - 30 000  PLN,PLN
210,Senior AI Engineer,True,Link Group,Remote,28 000  - 33 000  PLN,PLN
211,Junior AI Engineer,False,Lingaro,Remote,6 720  - 13 440  PLN,PLN
212,Senior Machine Learning Engineer,True,Grape Up,Remote,18 838  - 33 519  PLN,PLN
213,Technical Writer with Python,False,DevsData LLC,Remote,15 000  - 25 000  PLN,PLN
214,Remote Python Deep Learning Engineer,False,MX Labs,Remote,16 000  - 22 000  PLN,PLN
215,Machine Learning Engineer,False,Noble Systems Corporation,"Kraków, POL",10 700  - 17 600  PLN,PLN
216,Senior Machine Learning Engineer,True,S&amp;P Global,"Gdańsk, POL",16 000  - 21 000  PLN,PLN
217,"Data Analyst, AI Services",False,BRAINLY,Remote,9 000  - 15 000  PLN,PLN
218,STAŻ W DZIALE ENGINE,False,BILLON (Program Kariera),"Warszawa, POL",5 000  PLN,PLN
219,Python Machine Learning Engineer,False,Provectus,Remote,12 829  - 25 658  PLN,PLN
220,Remote Data Scientist,False,Varwise,Remote,26 000  - 30 000  PLN,PLN
221,ML/AI/Computer Vision Engineer,False,Pragmile,Remote,14 000  - 20 000  PLN,PLN
222,AI Researcher/Data Scientist,False,Link Group,Remote,23 500  - 32 500  PLN,PLN
